_id,OBJECTID,CartID,BikeFacilityType,MSAG_Name,ProjectName,Jurisdiction,District,Length,MaintenanceResponsibility,Status,FacilityName,Comments,Shape__Length
437,437,BF_313003158,Route,N FLORES ST,Unknown,San Antonio,1,334.77326795,COSA - Public Works Dept,Active,N Flores St from W Ashby Place to Fulton Ave,None,334.77326795357
438,438,BF_313000127,Route,N FLORES ST,Unknown,San Antonio,1,48.85765839,COSA - Public Works Dept,Active,N Flores St from W Euclid Ave to W Martin St,None,48.8576583912305
439,439,BF_313002277,Buffered Lane,KNIGHTS CROSS DR,IMP 2019 Bike Facility Restriping,San Antonio,9,1214.36804019,COSA - Public Works Dept,Active,Knights Cross Dr from Stone Oak Pkwy to Summer Knoll,None,1214.36804019143
440,440,BF_313000567,Bike Lane,S Zarzamora St,Unknown,San Antonio,4,319.58254518,COSA - Public Works Dept,Active,S Zarzamora St from SW Loop 410 to W Hutchins Place_CIMS 2007 Bond Project_5 ft bike lanes,None,319.582545186125
441,441,BF_313001939,Bike Lane,REED RD,Unknown,San Antonio,6,1348.90085634,COSA - Public Works Dept,Active,Reed Rd from Culebra Rd to W Military Dr,None,1348.90085633874
442,442,BF_313001568,Bike Lane,EMORY OAK DR,Unknown,San Antonio,3,266.29728421,COSA - Public Works Dept,Active,Emory Oak from SE Military Dr to Fairlawn Dr,None,266.297284213452
443,443,BF_313001504,Multi Use Path,CALLAGHAN RD,Unknown,San Antonio,7,771.7772187,COSA - Public Works Dept,Active,Callaghan Rd from Bandera Rd to Hemphill St,None,771.777218706378
444,444,BF_313003977,To Be Determined,FIVE PALMS DR,Unknown,San Antonio,4,300.84261944,COSA - Public Works Dept,Staff Recommended for IMP 2019 to 2023,TBD,None,300.8426194415
445,445,BF_313003033,Bike Lane,S FLORES ST,Unknown,San Antonio,5,307.43793899,COSA - Public Works Dept,Active,S Flores St from E Cevallos_W Cevallos to E Theo Ave_W Theo Ave,None,307.4379389975
446,446,BF_313003088,Route,ADAMS HILL DR,Unknown,San Antonio,4,287.01325689,COSA - Public Works Dept,Active,Adams Hills Dr from Mossy Creek Dr to Hunt Ln,None,287.01325689326
447,447,BF_313000016,Multi Use Path,HAYS ST,Unknown,San Antonio,2,865.98698057,COSA - Public Works Dept,Active,Hays St from Austin St to N Mesquite St,None,865.986980575689
448,448,BF_313003307,Bike Lane,FIVE PALMS DR,Unknown,San Antonio,4,284.20416203,COSA - Public Works Dept,Active,Five Palms Dr from Medina Base Rd to Port Victoria St,None,284.204162034978
449,449,BF_313001037,Bike Lane,CINCINNATI AVE,Unknown,San Antonio,7,381.50949932,COSA - Public Works Dept,Active,Cincinnati Ave from Camino Santa Maria S Josephine Tobin Dr,None,381.509499324981
450,450,BF_313000857,Bike Lane,CINCINNATI AVE,Unknown,San Antonio,7,708.36161398,COSA - Public Works Dept,Active,Cincinnati Ave from Camino Santa Maria S Josephine Tobin Dr,None,708.361613981678
451,451,BF_313000157,Bike Lane,CRESCENT OAKS,Unknown,San Antonio,9,704.578427,COSA - Public Works Dept,Active,Crescent Oaks from Hardy Oak Blvd to Knights Cross Dr,None,704.578427004522
452,452,BF_313001502,Multi Use Path,CALLAGHAN RD,Unknown,San Antonio,7,505.80246227,COSA - Public Works Dept,Active,Callaghan Rd from Bandera Rd to Hemphill St,None,505.802462270819
453,453,BF_313003458,Bike Lane,SEMLINGER RD,Unknown,San Antonio,2,801.5502697,COSA - Public Works Dept,Active,Semlinger Rd from Lord Rd to Wycliff Dr,None,801.550269705016
454,454,BF_313001836,Bike Lane,S MAIN AVE,Unknown,San Antonio,5,221.57295621,COSA - Public Works Dept,Active,S Main Ave from Arsenal to S Alamo St,None,221.572956216553
